,tweet_id,label_code,text,label_text
0,1218987408525594624,-1,You’re crazy.  Why don’t you move to Venezuela or China if you don’t like the free market experiment.  You can’t argue with the fact that our free market experiment has produced the longest lasting constitution in history.   Why is it that Marxist experiments never last?,somewhat unfavorable
1,1228198632928624640,-99,"Yes I know officially, 'HUAWEI' means '花为' that might translate as 'flower power'. However, @WarrenRothman's ""Kafka in China"" made me aware of alternate meanings of 'hua' & 'wei'. It could also mean '滑危' that could translate as 'cunning endangerment'.   https://amazon.com/Kafka-China-Part-Two-American/product-reviews/0692064702/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews … pic.twitter.com/9VkSOK30EZ",irrelevant or no opinion
2,1222540935491440640,-99,"Actually they do not have the right of return.  They are subject to the rules and regulation of the country they are in. China has quarantined the area, that means no coming or going.  Their lives are not in immediate danger. It is NOT a war zone.",irrelevant or no opinion
3,1225087124979974144,-99,China’s Services Sector Growth Hits Three-Month Low in January: Caixin PMI  https://pezou.com/asia/chinas-services-sector-growth-hits-three-month-low-in-january-caixin-pmi.html … pic.twitter.com/QlLMEFJ3T3,irrelevant or no opinion
4,1221648532148490240,-99,Popularity of NBA in China seems to create endless options  https://nba.nbcsports.com/2019/09/16/popularity-of-nba-in-china-seems-to-create-endless-options/ … via @basketballtalk,irrelevant or no opinion
5,1228264252055506944,-99,@expressvpn does expressvpn still work in China? looks like it's banned?  https://www.expressvpn.com/support/troubleshooting/china-status/?utm_campaign=china_got_update_mac&utm_content=follow_latest_updates&utm_medium=apps&utm_source=rotating_message_v3_mac_e1&redir=fqdtohl.com&redir_t=fd1fb9186d14ee3196477562c51f62a25a1a0c599b18bd2cc37160890abac1d8 …,irrelevant or no opinion
6,1231035476548767744,-1,Some mainland Chinese netizens have gone to extremes in their hatred of the rich. OMG！ Hong Kong philanthropist Li ka-shing personally flew to New Zealand by private jet to buy masks for Hong Kong residents. #WuhanCoronavius #HongKong #COVID19 #China  pic.twitter.com/33D34n3dm3,somewhat unfavorable
7,1216478029569982464,-1,Isn't it funny how Europe has been so quite these past few weeks? ... maybe their just 'shoring-up' the deals they've made to protect their investments with Russia and China... Believe me!  Turkey hasn't missed one move the EU has made ...,somewhat unfavorable
8,1225423460962361344,-99,"Hadn't heard about Texas. No, just quarantine is the only defenses we have to try to ""combat"" this since no one is really sure what to do. I believe there are 4 reserved military bases awaiting quarantined flights of Americans out of China.",irrelevant or no opinion
9,1220877913526022144,-1,oh no!! China should have been shut down when the first few died for no reason. SMH,somewhat unfavorable
10,1234650067589570560,-1,Modi is a dramebaaz.. He is just trying to divert attention from the progrom.. India isn't China that it will be able to create everything indigenous..,somewhat unfavorable
11,1232815981896048640,-99,That they need her in China pronto!,irrelevant or no opinion
12,1225721183338815488,-99,Support our medical professionals!!  1. Every day thousands are traveling from mainland China to #HongKong. Medical experts experts agree to close the borders  2. Hospitals do not provide enough masks and protecive wear. Ironically police has the best medical projective wear. 👇 pic.twitter.com/EcNXT9W7VL,irrelevant or no opinion
13,1227412854602641408,0,"China still mostly closed down as virus deaths pass 1,000  (from @AP) “Despite the official end of the extended Lunar New Year holiday, #China remained mostly closed for business as many remained at home, with some 60M people under virtual #Quarantine ” https://apnews.com/8b4521f709f04bdf5ac7318788555335 …",
14,1236093356184416256,-99,"I’d be happy to discuss with you but I’ve yet to answer you on other things you’ve said. Unfortunately, I’ve been quite busy.  I have a question for you though. Are you a citizen from the PRC and are you currently a permanent resident in China?",irrelevant or no opinion
15,1227045457131601920,-99,Somewhere a cat is angry its Amazon Prime order from China didn't arrive,irrelevant or no opinion
16,1216408451557089280,-99,What’s your dream china pattern? I’m picturing bats or pumpkins.  pic.twitter.com/ZS5a4GW1hf,irrelevant or no opinion
17,1231724888555061248,-99,"I work for a company that ships pkgs all over the world, and I can’t tell you how many people have shown up at our counter shipping masks to China. Unfortunately, due to customs, the intended will probably never receive them.",irrelevant or no opinion
18,1224716667634311168,0,Here we go  325 people in China not to leave until Feb. 6th what a Gov. we have.  Wake the fuck up people,
19,1228107948263645184,-1,Because all the trash in ocean specifically says “made in China”,somewhat unfavorable
20,1226666818292465664,-1,"In 1918 the number of deaths from the Spanish flu were suppressed because of WW1, no one wanted to look weak to their enemies...an estimated 20 to 50 million people died....China has the same problem, it's about appearance and national pride, all the while their citizens die.  pic.twitter.com/cAhcJ6DosL",somewhat unfavorable
21,1224461501295218688,0,"That’s kind of you.   @BaldingsWorld Chris, do you know of any trustworthy charities in China?",
22,1226877254602575872,-99,China now has to fight coronavirus AND bird flu: 'Highly pathogenic' avian influenza hits two ...  https://mol.im/a/7987009  via @MailOnline,irrelevant or no opinion
23,1222357123981627392,-99,"Death toll in China's coronavirus soars to 132; confirmed infections about 6,045 #corona #coronarvirues #WuhanCoronavirus #china #wuhan pic.twitter.com/VuIMFPtoNx",irrelevant or no opinion
24,1228959122038628352,-99,U.S. weighs blocking GE engine sales for China’s new airplane:  http://ow.ly/jSm130qi41O  #Aviation #Aircraft #Engines pic.twitter.com/jxQKU1hMNL,irrelevant or no opinion
25,1236117814186070016,-99,"The studies has shown that this virus eminate from China, the focus is from ppl who visited China, this guy was from Italy of which statistics of corona virus in Italy not known, we rely on WHO for stats of corona in other countries, remember this is a new thing.",irrelevant or no opinion
26,1233841782108102656,-1,"@ZubyMusic  Don't fear the virus, be aware and careful. The climate, nobody says this but, it is all up to China and India. If they don't change. You can make all the @elonmusk Teslas in the world, it will not make dent of coal, oil and gas power. I'm sorry. We should be hopeful",somewhat unfavorable
27,1228013219920449536,-1,".@Brent_Huffman, just finished @SavingMesAynak on @PrimeVideo - great #documentary! It will only grow in importance as #China's #BeltandRoadInitiative spreads across Asia. Other countries may face the same dilemma - protecting #culturalheritage in the face of China's ambitions.",somewhat unfavorable
